見出し語（品詞）,訳
cohesion（名詞）,結束、つながり、粘着、団結、（原子・分子の）凝集（力）
compression（名詞）,圧縮（状態）、圧搾、（文章などの）要約、（コンピューターで）（ファイルの）圧縮
concord（名詞）,一致、調和、友好関係、平和、（文法で）（人称・性・数などの）一致、協和音
confidentiality（名詞）,内密であること、機密性、機密保持
connector（名詞）,結合する人［物］、連結器、連結装置、連結作業者
conveyance（名詞）,運搬、輸送（機関）、乗り物、伝達
eminence（名詞）,（地位・身分が）高いこと、名声、卓越、（Eminenceで）猊下（枢機卿の尊称）
facing（名詞）,（壁などの）表面仕上げ、化粧張り、（facingsで）（軍服などの）縁飾り
fraternity（名詞）,兄弟関係、兄弟愛、（米）（男子学生の）友愛会
furnishing（名詞）,（furnishingsで）備え付け家具、備品（カーペットやカーテンも含む）
lather（名詞）,せっけんの泡、（馬の）泡汗、興奮
lather（自動詞）,（せっけんが）泡立つ
liaison（名詞）,連絡（係）、接触、不倫、連結発音
magnificence（名詞）,壮大、豪華、荘厳な雰囲気、壮麗
millstone（名詞）,石臼、重荷
parody（名詞）,パロディー、下手な模倣
parody（他動詞）,…をもじる、…を下手にまねる
pawn（名詞）,①質入れ、質草、担保 ②（チェスの）ポーン、手先
pawn（他動詞）,…を質に入れる
payoff（名詞）,（給料・借金などの）支払い、報酬、わいろ
propriety（名詞）,作法、礼儀正しさ、礼節、妥当性
regression（名詞）,後退、退行、後戻り
regulator（名詞）,規定する人、取り締まる人、（ガス・電気などの）調節器
sedan（名詞）,（米・豪）セダン型自動車（普通の箱形自動車）
semblance（名詞）,外見、うわべ、見せ掛け、類似
stopover（名詞）,（空の旅での）旅行途中の短期滞在、途中下車
stoppage（名詞）,中止［停止］すること、障害
subdivision（名詞）,再分割、一区画、（米）分譲地
tint（名詞）,色合い、色調、ほのかな色、淡色
tint（他動詞）,…に薄い色合いを付ける
advocacy（名詞）,弁護、支持、擁護
affiliate（名詞）,支部、支社、系列会社
affiliate（他動詞）,…を提携させる
affiliate（自動詞）,加入する、提携する
affluence（名詞）,豊かさ、富、財、富裕、流入
birthright（名詞）,生得権、（長子の）相続権
borrowing（名詞）,借用、借りたもの、借金、借用語
bourgeois（名詞）,ブルジョア、中産階級の市民、資本家
bourgeois（形容詞）,中産階級の、資本主義の
centralization（名詞）,中央集権（化）、集中（化）
conjunction（名詞）,結合、連結、共同、（事件などの）同時発生、（文法で）接続詞
deterrent（名詞）,抑止するもの［手段］、妨害物、（核兵器などの）戦争抑止力
dominion（名詞）,支配（権）、領地、（土地の）所有権、（旧英連邦の）自治領
embargo（名詞）,通商停止、（商船の）出入港禁止（命令）、禁止、制限
envoy（名詞）,公使、使節、使者、特命全権大使
influx（名詞）,（通常an influxで）流入、殺到
interrogation（名詞）,尋問、取り調べ
misconduct（名詞）,非行、不品行、職権乱用、違法行為
moratorium（名詞）,一時停止、支払猶予、モラトリアム
proponent（名詞）,提案者、擁護者、支持者
rebirth（名詞）,復活、復興、再生、更生、改心
remittance（名詞）,送金、送金額
retrieval（名詞）,取り返し、回収、回復、復旧、救助、検索
socialization（名詞）,社会（主義）化
solidarity（名詞）,団結、結束、連帯意識、（利害・目的などの）一致
speculator（名詞）,投機家、相場師、思索家、理論家
unionist（名詞）,労働組合員、合同主義者、連邦主義者
additive（名詞）,（食品などの）添加物、（ガソリンなどの）添加剤
additive（形容詞）,添加の、付加の、加法の
ale（名詞）,エール（ビールの一種）
broth（名詞）,ブロス（肉・魚・野菜などを煮出したスープ）
carbohydrate（名詞）,炭水化物、（通常carbohydratesで）炭水化物食品
dripping（名詞）,したたり、水滴、（drippingsで）（焼肉の）たれ汁
fixing（名詞）,固定、取り付け、（米）修理、（fixingsで）（くぎなどの）修理用品、（料理の）付け
gin（名詞）,ジン（蒸留酒の一種）
malt（名詞）,麦芽、モルト、モルトウイスキー
malt（他動詞）,（大麦）を麦芽にする
oatmeal（名詞）,ひき割りオート麦、オートミール（麦のおかゆ）
ration（名詞）,割り当て量、定量、（食糧不足時の）配給量
ration（他動詞）,…を（一定量に）制限する
sustenance（名詞）,（生命を維持する）食物、滋養物、生計（手段）、（精神的な）支え
allotment（名詞）,割り当て（ること）、割り当てられたもの、分け前、（英）市民菜園
bulge（名詞）,出っぱり、（腹などの）脂肪、一時的増加、（価格の）急騰
discrepancy（名詞）,不一致、相違、矛盾
exaltation（名詞）,（地位などを）高めること、称賛、大得意、有頂天
expectancy（名詞）,期待、予想、予測値、期待値
gloss（名詞）,光沢、つや、（a [the] glossで）見せ掛け、虚飾
gloss（他動詞）,…のつやを出す
infinity（名詞）,無限（性）、無数、無限大
parameter（名詞）,媒介変数、パラメーター、（通常parametersで）限定要素、要因、限界
quid（名詞）,（英）1ポンド
relativity（名詞）,相対性、関連性
variant（名詞）,異なるもの、変形
variant（形容詞）,異なる、さまざまな（限定用法）
concealment（名詞）,隠すこと、隠匿、隠されている状態、潜伏
differentiation（名詞）,区分、差別、分化
facade（名詞）,（建物の）正面、前面、外見、うわべ
facet（名詞）,（問題・物事などの）面、様相、（宝石などの）小面
groove（名詞）,溝、わだち、慣例、楽しく愉快なこと、リズム（感）
midland（名詞）,（通常the midlandで）中部地方、内陸部
niche（名詞）,最も適した地位［場所・仕事］、ニッチ、壁面のくぼみ、市場のすき間
notch（名詞）,V字型の切り込み、段、級、程度
notch（他動詞）,…に（V字型の）刻み目をつける
proximity（名詞）,（時間・距離・関係などが）近いこと、接近
quarry（名詞）,採石場、（知識などの）源泉、（引用句などの）出所
quarry（他動詞）,（石）を切り出す、…を採石する
repository（名詞）,収納［保管］場所、容器、知識の宝庫
rift（名詞）,切れ目、裂け目、亀裂
shroud（名詞）,死者を包む白布、経かたびら、覆い、幕、とばり
terminus（名詞）,（鉄道・バスなどの）終点、終着駅
underside（名詞）,下側、底面、裏面
vista（名詞）,眺め、展望、（未来の）展望、（過去の）回想
adherent（名詞）,味方、支持者、信奉者
adherent（形容詞）,粘着性の、付着する、執着する
airman（名詞）,パイロット、飛行士、航空兵
antagonist（名詞）,敵対者、競争相手、ライバル、拮抗筋、拮抗剤
bloke（名詞）,（英）やつ、男
caddie（名詞）,（ゴルフの）キャディー
courier（名詞）,配達人、（国際）宅配便業者、特使、案内人
custodian（名詞）,（公共物の）管理人、用務員、守衛、後見人
forefather（名詞）,（通常forefathersで）先祖、祖先
headteacher（名詞）,（英）校長（＝［米］principal）
mentor（名詞）,（信頼のおける）助言者、指導者、師
midwife（名詞）,助産師［婦］、産婆
newsagent（名詞）,（英）新聞・雑誌販売業者（＝［米］newsdealer）
outcast（名詞）,追放された人、浮浪者、のけ者
scapegoat（名詞）,他人の罪を負う者、身代わり
seniority（名詞）,年上、年長、年功
suitor（名詞）,（男の）求婚者、企業買収を図る企業、原告
wretch（名詞）,不幸な人、（愛情を込めて）やつ
accelerator（名詞）,アクセル（ペダル）、促進剤、加速器
amber（名詞）,琥珀（樹脂の化石）、琥珀色、（交通信号の）黄色
chisel（名詞）,のみ、彫刻刀
chisel（他動詞）,…をのみで彫る、（人）をだます
churn（名詞）,（バターを作る）攪乳器
churn（他動詞）,（クリーム・牛乳）を攪乳器で激しくかき混ぜる
clothespin（名詞）,（米）洗濯ばさみ
crank（名詞）,（機械の）クランク、L字型ハンドル、変人、（米）気難し屋、覚せい剤
crib（名詞）,（米）ベビーベッド、かいば桶、（穀物用の）貯蔵箱
crib（他動詞）,…を盗用する
derivative（名詞）,派生物、派生語、デリバティブ、金融派生商品、誘導体
derivative（形容詞）,独創性のない、模倣した
diesel（名詞）,ディーゼルエンジン、ディーゼル燃料、ディーゼル車［機関車］
dropping（名詞）,落下（物）、滴下、（droppingsで）（動物・鳥の）ふん
flint（名詞）,火打ち石、ライターの石
frill（名詞）,（服・カーテンなどの）へり飾り、フリル、（通常frillsで）余分なもの
fuse（名詞）,ヒューズ、導火線、信管
helm（名詞）,（船の）かじ、操舵装置、（the helmで）支配、指揮権
mainframe（名詞）,（大型）汎用コンピューター、メインフレーム
mortar（名詞）,モルタル（セメント・石灰・砂を混ぜたもの）
neutron（名詞）,中性子、ニュートロン
plaything（名詞）,おもちゃ、おもちゃにされる人
rubble（名詞）,（石・れんがなどの）破片、がれき、割石
semicircle（名詞）,半円、半円形の物
sham（名詞）,偽物、まがい物、いんちき、詐欺師
sham（形容詞）,見せ掛けの、偽の（限定用法）
shred（名詞）,切れ端、断片
shred（他動詞）,…を細く切る、…をシュレッダーにかける
slate（名詞）,スレート、粘板岩、（昔の筆記用の）石板、（米）候補者名簿
spout（名詞）,（やかんなどの）口、噴出口、雨どい
spout（他動詞）,…を噴出する、…をまくしたてる
stub（名詞）,（鉛筆・ろうそくなどの）使い残り、（タバコの）吸殻、（小切手の）控え、（木の）切り
sulfur（名詞）,硫黄
transistor（名詞）,トランジスタ、トランジスタラジオ
trimming（名詞）,（trimmingsで）切り取った物、（料理などの）添え物、（衣服などの）飾り
varnish（名詞）,ニス、ワニス、光沢、ごまかし
vault（名詞）,アーチ形の天井［屋根］、地下貯蔵室、金庫室
wedge（名詞）,くさび、くさび形の物
wedge（他動詞）,…をくさびで留める、…にくさびを入れ（て…の状態にす）る
wig（名詞）,かつら
wig（自動詞）,（wig outで）逆上する、興奮する
wig（他動詞）,（人）を逆上させる
divisional（形容詞）,分割する、区分的な（限定用法）
dual（形容詞）,2つの部分からなる、二重の、二元的な、2の、2を表す（限定用法）
elevated（形容詞）,（地位が）高い、高揚した、高尚な
foremost（形容詞）,（the foremostで）一番先の、最も重要な（限定用法）
immovable（形容詞）,（物が）動かせない、固定された、（決意などが）確固たる
interdependent（形容詞）,相互依存の
intermediary（形容詞）,仲介の、媒介の、中間の（限定用法）
intermediary（名詞）,仲介者、媒介者、媒介
paternal（形容詞）,父（方）の、父親らしい、父のような（限定用法）
pervasive（形容詞）,広がる、行き渡る、普及する
proportionate（形容詞）,釣り合った、比例した
relational（形容詞）,関係を示す、相関的な、関係のある
reliant（形容詞）,頼っている、当てにしている
reversible（形容詞）,逆にできる、（衣服が）リバーシブルの、元へ戻せる
rotary（形容詞）,回転する、回転式の（限定用法）
rotary（名詞）,（米）ロータリー、環状交差点
symmetrical（形容詞）,左右相称的な、対称の、釣り合いの取れた
cognitive（形容詞）,認識の、認知に関する
colloquial（形容詞）,口語（体）の、話し言葉の
discernible（形容詞）,認められる、認識できる、識別できる
elusive（形容詞）,理解しにくい、とらえどころのない、捕まえにくい
empirical（形容詞）,経験による、経験上の（限定用法が多い）
existential（形容詞）,存在の、実存主義の
figurative（形容詞）,比喩的な、文字どおりでない
geometric（形容詞）,幾何学の、幾何学的な
holistic（形容詞）,全体論の、全体論的な
investigative（形容詞）,調査の、研究の、捜査の（限定用法が多い）
methodical（形容詞）,整然とした、きちょうめんな
microscopic（形容詞）,顕微鏡の、顕微鏡でしか見えない、微小の
molecular（形容詞）,分子の（限定用法）
monumental（形容詞）,不朽の、不滅の、途方もない、記念碑的な、堂々とした（限定用法が多い）
mythical（形容詞）,神話の、神話上の、架空の（限定用法が多い）
occult（形容詞）,魔術的な、神秘的な
occult（名詞）,超自然的なもの、オカルト（現象）
proverbial（形容詞）,ことわざの、ことわざに使われている、評判の、おなじみの
reactive（形容詞）,よく反応する、反応しやすい、反応型の
substantive（形容詞）,実在の、実質的な、本質的な
utilitarian（形容詞）,実用的な
utilitarian（名詞）,功利主義（者）
gastric（形容詞）,胃の、胃部の（限定用法）
hale（形容詞）,（老人が）強健な、元気がよい
hale（他動詞）,…を強く引っ張る
injurious（形容詞）,（健康などに）有害な、（感情・名声などを）傷つける
malignant（形容詞）,悪性の、悪意［敵意］のある
neurotic（形容詞）,神経症の、ノイローゼの、神経過敏な
neurotic（名詞）,神経症患者
psychiatric（形容詞）,精神医学の（限定用法）
retarded（形容詞）,知能の遅れた、知的障害の（軽蔑的とされる）
toothless（形容詞）,歯がない、歯が抜けた、（組織・規則などが）効力がない
appalling（形容詞）,（人を）ぞっとさせる、恐ろしい、驚くばかりの、ひどい
audible（形容詞）,聞こえる、聞き取れる
awakening（形容詞）,目を覚ましつつある、覚せいさせるような、目覚しい
awakening（名詞）,目覚め、覚せい、自覚
beastly（形容詞）,嫌な、ひどい、獣のような、残忍な
beastly（副詞）,ひどく、いやに
blinding（形容詞）,目をくらます、分別を失わせるような（限定用法）
creepy（形容詞）,身の毛のよだつ、ぞっとする、（虫などが）はう
eerie（形容詞）,不気味な、薄気味の悪い、ぞっとする
expectant（形容詞）,期待をもった、妊娠中の
forbidding（形容詞）,不気味な、怖い、危険な
fraught（形容詞）,心配して、緊張して、気がかりな、（危険・困難に）満ちた
inflammatory（形容詞）,怒りをかき立てる、扇動的な、炎症性の
intriguing（形容詞）,興味をそそられる、魅力ある、陰謀を企てる
lamentable（形容詞）,悲しむべき、嘆かわしい、遺憾な
objectionable（形容詞）,異議のある、不快な、いかがわしい
oblivious（形容詞）,忘れて、気に留めない、気付かない
observant（形容詞）,観察力［知覚力］の鋭い、注意深い
possessed（形容詞）,（悪霊などに）とりつかれた（叙述用法）
sensual（形容詞）,官能的な、好色な、肉体的感覚の
unspoken（形容詞）,（合意などが）暗黙のうちの、言葉にして発せられない、無言の
wistful（形容詞）,物思いに沈んだ
arduous（形容詞）,困難な、骨の折れる、努力を要する
articulate（形容詞）,はっきりした、明瞭な
articulate（他動詞）,…をはっきり発音する
bumpy（形容詞）,でこぼこの、がたがた揺れる
cellular（形容詞）,細胞の、（布地が）目の粗い、（無線通信が）セルラー方式の（限定用法が多い）
ceremonious（形容詞）,儀式ばった、厳かな、儀礼を尽くした（限定用法が多い）
convertible（形容詞）,変換できる、（車が）コンバーチブル型の、幌をたためる
convertible（名詞）,コンバーチブル型自動車
creditable（形容詞）,立派な、尊敬に値する、信頼できる、名誉となる
crossed（形容詞）,横線を引いた、妨害された、混線した
deserving（形容詞）,（称賛・非難などに）値する（以上叙述用法）、（限定用法）資格のある
desolate（形容詞）,（場所が）人けのない、荒れ果てた、わびしい、寂しい
desolate（他動詞）,…を悲しませる、…を荒廃させる
disorderly（形容詞）,無秩序の、乱雑な、乱暴な、無法な
dormant（形容詞）,（火山などが）休止状態である、（能力などが）潜在している、（権利などが）未発動の
floppy（形容詞）,（生地などが）柔軟な、ばたつきやすい、だらりとした
floppy（名詞）,フロッピーディスク
gallant（形容詞）,勇ましい、堂々とした、立派な、（女性に）親切な
ghostly（形容詞）,幽霊の（ような）、ぼんやりとした、かすかな（限定用法が多い）
homely（形容詞）,（雰囲気などが）家庭的な、質素な、やぼったい、平凡な
inconspicuous（形容詞）,目立たない、注意を引かない、地味な
indistinct（形容詞）,不明瞭な、はっきりしない、ぼやけている
latent（形容詞）,隠れた、潜在性の、表面に出ない（限定用法が多い）
laughable（形容詞）,ばかばかしい、おかしい
lax（形容詞）,ゆるい、たるんだ、怠慢な、手ぬるい、だらしのない
monotone（形容詞）,単調な、一本調子の、つまらない
monotone（名詞）,単調な話し方、単調音
ornate（形容詞）,どぎつく飾り立てる、極度に修辞的な
phony（形容詞）,偽の、いんちきの、誠実でない
powdery（形容詞）,粉の、粉状の、粉になりやすい、もろい、粉だらけの
seamless（形容詞）,縫い目のない、途切れのない
shaggy（形容詞）,毛深い、毛むくじゃらの、むさ苦しい
simplistic（形容詞）,単純な、単純化した
slick（形容詞）,滑らかな、すべすべした、口のうまい
slick（名詞）,滑らかな部分
unambiguous（形容詞）,あいまいでない、明白な、明快な
opportune（形容詞）,適切な、適当な、好都合な、時宜を得た、タイムリーな
predictive（形容詞）,予言の、前兆となる、予測の（限定用法が多い）
primal（形容詞）,初期の、第一の、原始の（以上は限定用法）、根本的な、主要な
transient（形容詞）,一時的な、短期滞在の
unbeaten（形容詞）,敗れたことのない、無敗の
unforeseen（形容詞）,予期しない、思いがけない、不測の
unparalleled（形容詞）,並ぶ者のない、無比の、無類の
accommodating（形容詞）,好意的な、親切な、順応しやすい、気さくな
assured（形容詞）,自信のある、厚かましい、保証された、確実な
benevolent（形容詞）,慈悲深い、親切な、（限定用法）慈善のための
bland（形容詞）,穏やかな、人当たりがいい、個性のない、薄味の
calculating（形容詞）,抜け目ない、利己的な、計算高い
cardinal（形容詞）,基本的な、主要な
cardinal（名詞）,枢機卿
delinquent（形容詞）,非行の、（負債などが）滞納の、怠慢な、義務を怠る
delinquent（名詞）,非行少年［少女］
devout（形容詞）,信心深い、心からの、熱烈な、誠実な
egotistic（形容詞）,わがままな、利己的な
flattering（形容詞）,お世辞の、うれしがらせる、（実物以上に）よく見せる
genial（形容詞）,愛想のよい、親切な、（気候などが）温暖な
heartless（形容詞）,冷酷な、残酷な、薄情な、熱意のない
incompetent（形容詞）,無能な、役に立たない
invincible（形容詞）,征服できない、無敵の
mindful（形容詞）,注意して、心に留めて（叙述用法）
neglectful（形容詞）,不注意な、無関心な、怠慢な、ずぼらな
politic（形容詞）,思慮深い、分別のある、適切な
quarrelsome（形容詞）,けんか早い、怒りっぽい、短気な（限定用法が多い）
receptive（形容詞）,（新しい考えなどを）好意的に受け入れる、受容力がある、理解が早い
relentless（形容詞）,ひどく厳格な、容赦ない、絶え間のない
secretive（形容詞）,隠し立てする、秘密主義の
sheepish（形容詞）,内気な、恥ずかしがる、おどおどした
sterling（形容詞）,英貨の、ポンドの、（銀が）法定純度の、（性格などが）優れた、立派な
stingy（形容詞）,けちな、しみったれた
strenuous（形容詞）,活発な、精力的な、熱心な、（仕事などが）骨の折れる、努力を要する（限定用法が多い）
uncompromising（形容詞）,妥協しない、不屈の、断固たる（限定用法が多い）
uncontrolled（形容詞）,抑制されていない、規制されていない、野放しの
wary（形容詞）,用心深い、油断のない、慎重な
accountable（形容詞）,責任がある、もっともな、説明のつく
apologetic（形容詞）,謝罪する、謝罪の、おわびの、弁明の
communal（形容詞）,共同（使用）の、公共の、共同社会の
hierarchical（形容詞）,階層制の、階級制の
imperialist（形容詞）,帝国主義（者）の（限定用法が多い）
imperialist（名詞）,帝国主義者
managerial（形容詞）,経営者の、経営上の（限定用法）
nomadic（形容詞）,遊牧民の、遊牧の、放浪者の、放浪生活の
regulatory（形容詞）,規定する、取り締まる、調整する（限定用法が多い）
retiring（形容詞）,内気の、遠慮がちな、隠居する、引退［退職］する
secretarial（形容詞）,秘書の（仕事に関する）（限定用法が多い）
sparing（形容詞）,節約する、倹約する、乏しい、少ない
tactical（形容詞）,戦術の、戦術上の、駆け引きのうまい、抜け目ない（限定用法が多い）
unauthorized（形容詞）,公認されていない、未許可の、権限のない
unprofitable（形容詞）,利益のない、もうからない、損な、無駄な
visionary（形容詞）,先見の明のある、空想的な、非現実的な
visionary（名詞）,先見の明のある人、空想家
volatile（形容詞）,（情勢などが）変わりやすい、不安定な、激しやすい、気まぐれな、揮発性の
warlike（形容詞）,戦争の、軍事の、好戦的な、戦闘的な
endangered（形容詞）,絶滅寸前の、（絶滅の）危険にさらされた
flowering（形容詞）,花の咲いている、花盛りの（限定用法）
flowering（名詞）,開花、全盛期、花飾り
freshwater（形容詞）,（湖などが）淡水の、真水の、（生物が）淡水産の（限定用法）
overgrown（形容詞）,（草木が）生い茂った、大きくなりすぎた
parched（形容詞）,（土地が）干からびた、（人が）のどがからからの
stark（形容詞）,荒涼とした、飾り気のない、何もない
stark（副詞）,まったく
untouched（形容詞）,心を動かされない、影響を受けない、触られていない、手を付けていない
wooded（形容詞）,森のある、木に覆われた
zoological（形容詞）,動物学の、動物に関する
complementary（形容詞）,補足する、補足的な、相補的な
complementary（名詞）,補色
complimentary（形容詞）,（好意による）無料の、招待の、称賛の、お世辞の
cumulative（形容詞）,累積する、次第に増加する
facile（形容詞）,容易な、たやすく手に入る、軽快な
fateful（形容詞）,運命を決する、宿命的な、破滅的な（限定用法）
imminent（形容詞）,差し迫った、切迫した、（悪いことが）今にも起こりそうな
invariable（形容詞）,不変の、変えられない、一定の、定数の
manageable（形容詞）,扱いやすい、処理しやすい、操作できる
momentous（形容詞）,重大な、重要な、ゆゆしい（限定用法が多い）
mundane（形容詞）,日常の、平凡な、つまらない
peripheral（形容詞）,重要でない、周囲の、周辺部の、末梢の
pertinent（形容詞）,（当面の問題の）核心に関連する、適切な
practicable（形容詞）,実行可能な、実施できる、実用的な、実物の
praiseworthy（形容詞）,称賛に値する、感心な
scanty（形容詞）,乏しい、わずかな、露出度の高い
superfluous（形容詞）,余分な、過度の、不必要な
unorthodox（形容詞）,正統的でない、伝統的でない、異端の
unthinkable（形容詞）,考えられない、思いもよらない、想像もできない
usable（形容詞）,使用できる、使用に適した、使うのに便利な
wee（形容詞）,小さい、ちっちゃな、（米）（時刻が）早い（限定用法）
weighty（形容詞）,重大な、重要な、重い、重量のある
clockwise（副詞）,時計回りに、右回りに
clockwise（形容詞）,時計回りの、右回りの
counterclockwise（副詞）,反時計回りに、左回りに
counterclockwise（形容詞）,反時計回りの、左回りの
afresh（副詞）,新たに、再び
arguably（副詞）,おそらく、ほぼ間違いなく
expressly（副詞）,はっきりと、明確に、特に
gingerly（副詞）,非常に慎重に、極めて用心深く
minutely（副詞）,詳細に、微細に、綿密に
sorely（副詞）,ひどく、非常に
aye（副詞）,はい（yes）、賛成
aye（名詞）,賛成者、賛成票
theoretically（副詞）,理論上は、名目上は
alas（間投詞）,ああ（悲しみ、悲痛）
gee（間投詞）,あらまあ、うわー（驚き・落胆・同情などを表す）
thee（代名詞）,なんじを［に］
nominal（形容詞）,ほんのわずかの、名目だけの、名ばかりの（限定用法が多い）
accrue（自動詞）,（利益などが）結果として生じる、発生する、増える
financier（名詞）,投資家、資本家、財務官、金融業者
accomplice（名詞）,共犯者、共謀者、仲間
acquit（他動詞）,（人）を（証拠不十分で）無罪とする、（人）を釈放する
aria（名詞）,（オペラなどの）アリア、詠唱
alleviate（他動詞）,…を軽減する、…を和らげる、…を楽にする
wrath（名詞）,激怒、憤慨、復讐
annul（他動詞）,…を（法的に）無効にする、…を取り消す
ferocity（名詞）,残虐性、残忍さ、残忍な行為
burgeon（自動詞）,急に発展［成長］する、急増する、（葉が）芽ぐむ
burgeon（名詞）,新芽
anesthetic（名詞）,麻酔薬、麻酔剤
anesthetic（形容詞）,麻酔の、無感覚の
clot（自動詞）,凝固する
clot（他動詞）,…を凝固させる
clot（名詞）,（血などの）固まり
cardiovascular（形容詞）,心臓血管の、循環器の
boisterous（形容詞）,ばか騒ぎの、騒々しい、（天候が）荒れ狂った
booze（名詞）,酒
booze（自動詞）,大酒を飲む
clutter（他動詞）,…を散らかす、…を混乱させる
clutter（名詞）,散らかった物の山、がらくた
disparate（形容詞）,異種の、本質的に異なる（限定用法が多い）
coalesce（自動詞）,合併する、連合する、合体する
conglomerate（名詞）,複合企業（体）、集合（体）
conglomerate（形容詞）,複合企業（体）の
sliver（名詞）,（細長い）木切れ、破片、細長い小片
incendiary（形容詞）,火を付けるのに用いる、放火の、扇動的な
incendiary（名詞）,焼夷弾（incendiary bomb）
crackle（自動詞）,パチパチ音を立てる、細かいひびができる
crackle（名詞）,パチパチという音、ひび模様
hepatitis（名詞）,肝炎
debilitate（他動詞）,…を衰弱させる、…を虚弱にする
patriarch（名詞）,家父長、族長、総大司教
deflate（他動詞）,（人）をしょげさせる、（タイヤなど）のガスを抜く、…をしぼませる
deflate（自動詞）,しぼむ
predicament（名詞）,窮地、苦境、境遇
boardroom（名詞）,重役用会議室、重役
degenerate（自動詞）,悪化する、退化する、堕落する
degenerate（形容詞）,悪化した、退化した
uproar（名詞）,大騒ぎ、騒動、わめき叫ぶ声、激論
stockpile（名詞）,食糧［原料］備蓄、貯蔵量
stockpile（他動詞）,…を貯蔵する
stockpile（自動詞）,貯蔵する
deplete（他動詞）,…を激減させる、…から枯渇させる
deport（他動詞）,（外国人）を国外に追放する、…を強制送還する、（deport oneselfで）振る舞う
illicit（形容詞）,不法の、違法な、（道徳的に）認められない（限定用法が多い）
ghetto（名詞）,スラム街、ユダヤ人強制居住区
depose（他動詞）,（人）を免職にする、…を（高位から）退ける、…だということを証言する
depose（自動詞）,証言する
treason（名詞）,（国家への）反逆（罪）
deportation（名詞）,国外追放、輸送、移送
czar（名詞）,皇帝、専制君主、独裁者、親玉
enactment（名詞）,（法律の）制定、立法、法令、上演
devolve（自動詞）,（義務・財産などが）移る
devolve（他動詞）,（義務・権利など）を譲り渡す、…を委譲する
cartel（名詞）,企業連合、カルテル、政党連合
disband（自動詞）,解散する
disband（他動詞）,（組織など）を解体する
devaluation（名詞）,平価切り下げ、（価値などの）低下、格下げ
trooper（名詞）,騎兵、州警察官、騎馬警官
drench（他動詞）,…をずぶぬれにする、…を水に浸す
frigid（形容詞）,ひどく寒い、寒冷な、冷淡な
apostle（名詞）,使徒、最初の伝道者、（運動・信仰などの）主唱者
emanate（他動詞）,…を出す、…を発する、（性質・感情などを）放つ
emanate（自動詞）,出てくる、生じる、発する
aura（名詞）,（独特の）雰囲気、オーラ
embroil（他動詞）,…を巻き込む、…を混乱させる
libel（名詞）,誹謗、名誉棄損、侮辱
libel（他動詞）,…を中傷する、…の名誉を傷つける
entrench（他動詞）,…を確固としたものにする
entrench（自動詞）,ざんごうを掘る、侵害する
arcane（形容詞）,難解な、深遠な、分かりにくい
tenet（名詞）,教義、信条、主義
allusion（名詞）,ほのめかし、当てつけ、さりげない言及
exacerbate（他動詞）,…を悪化させる、…をいっそうひどくする
animosity（名詞）,憎しみ、敵意、悪意
exhilarate（他動詞）,（人）を活気づける、…をわくわくさせる
mural（名詞）,壁画（mural decoration）
mural（形容詞）,壁の、壁面の（限定用法）
asylum（名詞）,保護［養護］施設、避難所、亡命
forestall（他動詞）,…を未然に防ぐ、…の先手を打つ、…に先んじる
forgo（他動詞）,…なしで済ませる、…を割愛する、（楽しみなど）を慎む
diaper（名詞）,おむつ、おしめ
diaper（他動詞）,…におむつを当てる
galvanize（他動詞）,急に活気づかせて…をさせる、…に衝撃を与える、…に電流を流す
pivotal（形容詞）,極めて重要な、決定的な、回転の軸となる
vibrant（形容詞）,（色が）明るい、（音などが）よく響く、（場所が）活気のある
gild（他動詞）,…を金色に輝かせる、…に金箔をかぶせる、…のうわべを飾る
onslaught（名詞）,猛攻撃、激しい批判、大量、多数
catapult（名詞）,石弓、カタパルト
catapult（他動詞）,…をカタパルトで発射する、…を急に投げ出す、…を勢いよく放つ
gouge（他動詞）,（穴）を開ける、…をえぐる、…を丸のみで彫る
gouge（名詞）,刃の丸いのみ、詐欺
rampart（名詞）,（通常rampartsで）城壁、塁（壁）
acquittal（名詞）,無罪（評決［判決］）、釈放、免除
hearten（他動詞）,…を元気づける、…を励ます
cutback（名詞）,削減、縮小（以上は通常cutbacksで）、（映画の）カットバック
ignite（他動詞）,…に火を付ける、…を奮起させる、（議論など）を燃え上がらせる
ignite（自動詞）,火が付く、燃え上がる
backlash（名詞）,（大衆の）反発、反動、抵抗
incriminate（他動詞）,…を有罪とする、…を告発する、…に罪を負わせる
perjury（名詞）,偽証（罪）、偽りの陳述
ghastly（形容詞）,恐ろしい、ぞっとするような、ひどい、嫌な
ghastly（副詞）,恐ろしく、ぞっとするほど
conflagration（名詞）,大火、（戦争や災害の）突発、戦争
inundate（他動詞）,…に殺到する、…を水浸しにする
languish（自動詞）,不振である、活気がなくなる、惨めに暮らす、切望する
dearth（名詞）,不足、欠乏、食糧不足、飢きん
pilgrimage（名詞）,巡礼、聖地巡り、長旅
meander（自動詞）,（川・道が）曲がりくねって進む、（人が）あてもなくさまよう、とりとめのない話をする
meander（名詞）,（通常meandersで）曲がりくねった道、（川の）蛇行
mitigate（他動詞）,（怒り・苦痛・過酷さなど）を和らげる、…を鎮める、（刑罰）を軽くする
antipathy（名詞）,反感、反発、嫌悪
lineage（名詞）,血筋、血統、家系、子孫、種族
turnout（名詞）,人出、出席者、投票率、出動
outstrip（他動詞）,…を上回る、…より勝る、…を追い越す
