symposium（名詞）,シンポジウム、討論会
cartridge（名詞）,カートリッジ、爆薬筒
chariot（名詞）,（一人乗り）二輪戦車、荷馬車
coffin（名詞）,棺、ひつぎ
complement（名詞）,補完物、（文法で）補語
complement（他動詞）,…のよさを引き立てる、…を補足する
crumb（名詞）,（通常 crumbs で）かけら、くず
crutch（名詞）,松葉づえ（以上は通常 crutches で）、支え、支柱
fabric（名詞）,織物、布地、構造
fringe（名詞）,房飾り、（通常 fringes で）（場所の）周辺、二次的なもの
fringe（形容詞）,二次的な
furnace（名詞）,炉、かまど、ひどく暑い場所
grease（名詞）,グリース、潤滑油、油脂
grease（他動詞）,…にグリースを塗る
handicraft（名詞）,手工芸品（以上は handicrafts で）、手先の熟練［器用さ］
hearth（名詞）,暖炉、いろり、炉辺
hive（名詞）,ハチの巣（beehive）、群衆
hive（他動詞）,（hive off で）…を分離独立させる
hurdle（名詞）,障害物、ハードル
hurdle（他動詞）,（障害など）を飛び越す、…を乗り越える
indicator（名詞）,表示器、指し示す人［もの］、指標、（英）方向指示器
jug（名詞）,水差し、つぼ、ジョッキ
knob（名詞）,（ドアなどの）ノブ、（ラジオなどの）つまみ、スイッチ
leaflet（名詞）,（広告の）ちらし、リーフレット、小冊子
outfit（名詞）,服装の一そろい、一団
outfit（他動詞）,（服装・用具など）を提供する、（旅行など）の支度を整える
pail（名詞）,バケツ、手おけ
pebble（名詞）,（丸い）小石
peg（名詞）,くぎ、くい、掛けくぎ、フック、（英）洗濯ばさみ
peg（他動詞）,…にくぎを打つ
pottery（名詞）,陶器、陶磁器類、陶芸、製陶
pouch（名詞）,小物入れ、ポーチ、（動物の体にある）袋
rake（名詞）,くま手、レーキ、草かき
rake（他動詞）,…をくま手で集める、…を除く
rein（名詞）,（馬などの）手綱、（the reins で）制御、統御（力）
rein（他動詞）,…を抑制する
roller（名詞）,ローラー、キャスター、足車
rug（名詞）,（床の一部を覆う）敷物、じゅうたん、（英）ひざ掛け用
shaft（名詞）,（エレベーターの）シャフト、柄、軸、矢、（一条の）光線
specimen（名詞）,標本、実例、見本、（形容詞を伴って）…なやつ
spike（名詞）,大くぎ、（spikes で）スパイク、（価格などの）急上昇
spike（他動詞）,…を大くぎで止める
spoke（名詞）,（車輪の）スポーク、輪止め、はしごの段
spur（名詞）,拍車、刺激、激励
spur（他動詞）,…に拍車を掛ける、…を刺激する
staple（名詞）,ホチキスの針、ステープル
staple（他動詞）,…をホチキスで留める
staple（形容詞）,基本的な、主要な（限定用法）
stapler（名詞）,ホチキス
stopper（名詞）,栓、詰め、止める人、（野球の）リリーフ投手
stopper（他動詞）,…に栓をする
strand（名詞）,より糸、編んだ髪の毛、ひもに通したもの
strand（他動詞）,…を座礁させる
submarine（名詞）,潜水艦
submarine（形容詞）,海底の、海中の（限定用法）
textile（名詞）,布地、織物
timer（名詞）,タイマー、計時装置、ストップウォッチ、時計係
valve（名詞）,弁、バルブ、（心臓などの）弁膜
wallpaper（名詞）,壁紙、壁新聞
wallpaper（他動詞）,…に壁紙を張る
ware（名詞）,（複合語で）…用品、…商品、（産地名の後で）…陶器、…焼き
yarn（名詞）,（編み物用の）糸、紡ぎ糸、（誇張のある）作り話
advantageous（形容詞）,有利な、利益のある、都合のよい
centered（形容詞）,中心をもつ、中央にある、（複合語で）…中心の
hind（形容詞）,後ろの（限定用法）
identical（形容詞）,（the identical で）全く同じ、同一の（以上は限定用法）、一致する
lofty（形容詞）,非常に高い、高位の、高貴な、威厳のある
premier（形容詞）,第1位の、最初の（限定用法）
premier（名詞）,総理大臣、首相
respective（形容詞）,それぞれの、各自の（限定用法）
roundabout（形容詞）,回り道の、遠回りの、間接の（限定用法が多い）
roundabout（名詞）,メリーゴーランド、ロータリー
uphill（形容詞）,（道が）上りの、（限定用法が多い）（仕事などが）困難な
uphill（副詞）,上の方へ
uphill（名詞）,上り坂
vertical（形容詞）,垂直の、直立した
vertical（名詞）,垂直線［面］
conceptual（形容詞）,概念の、考え方の
cultivated（形容詞）,教養のある、洗練された、耕作された
knowledgeable（形容詞）,博識な、精通している、理解力のある
linguistic（形容詞）,言語（学）の（限定用法が多い）
papal（形容詞）,ローマ教皇の、ローマカトリック教会の（限定用法）
stylistic（形容詞）,文体（論）の（限定用法が多い）
theoretical（形容詞）,理論上の、理論好きな、架空の（限定用法が多い）
barefoot（形容詞）,はだしの、素足の
barefoot（副詞）,はだしで、素足で
breathless（形容詞）,息切れした、息もつけない
brisk（形容詞）,元気のよい、きびきびした、活発な、（風などが）心地よく冷たい
challenged（形容詞）,（主に米；副詞を伴って）ハンディを負った、身体に障害のある
clinical（形容詞）,臨床の、病床の（限定用法が多い）
developmental（形容詞）,発達上の、発育上の、開発的な
feverish（形容詞）,熱のある、熱っぽい、（限定用法）興奮した、大急ぎの
husky（形容詞）,①しゃがれ声の、ハスキーな ②大柄で強い、たくましい
husky（名詞）,大柄で強い人、エスキモー犬
invalid（形容詞）,①病弱な ②無効な
invalid（名詞）,病弱者
limp（形容詞）,力のない、弱々しい
limp（自動詞）,足を引きずる、のろのろ進む
limp（名詞）,足を引きずること
skinny（形容詞）,骨と皮ばかりの、皮質の、けちな
unhealthy（形容詞）,健康的でない、病身の、健康によくない、不健全な
wholesome（形容詞）,健康によい、ためになる、健全な
alarming（形容詞）,人を驚かせる、急を知らせる、憂慮すべき
amazed（形容詞）,驚いた、びっくりした
appetizing（形容詞）,食欲をそそる、人の気をそそる
comforting（形容詞）,気分が安らぐ、（言葉などが）慰めとなる、元気づける
disagreeable（形容詞）,嫌な、好みに合わない、不愉快な
disgusted（形容詞）,むかついた、うんざりした
dismal（形容詞）,陰気な、憂うつな、見るに耐えない
dismal（名詞）,憂うつ
dreamy（形容詞）,夢のような、夢を見る、素晴らしい
drowsy（形容詞）,眠たい、鈍い
furious（形容詞）,激怒した（叙述用法）、猛烈な（限定用法）
hearty（形容詞）,心からの、心の温かい、豊富な
insane（形容詞）,正気でない、狂気の（叙述用法が多い）
ironical（形容詞）,皮肉な、当てこすりの、反語の
lonesome（形容詞）,（主に米）独りで寂しい、孤独の、心細い、（場所が）孤立した、人里離れた
pitiful（形容詞）,かわいそうな、哀れを催す、痛ましい、情けない
playful（形容詞）,遊び戯れる、はしゃぐ、陽気な、こっけいな
regrettable（形容詞）,悲しむべき、残念な、痛ましい
sane（形容詞）,正気の、分別ある
senseless（形容詞）,意識を失った、感覚のない（以上は叙述用法が多い）、無分別な、非常識な
sentimental（形容詞）,感傷的な、感傷をそそる、感情的な、心情的な
subjective（形容詞）,主観的な、個人的な、本来備わっている
tearful（形容詞）,涙を誘う、涙でいっぱいの、泣いている
wretched（形容詞）,不幸な、悲惨な、（限定用法）嫌な、むかつく
burnt（形容詞）,焼けた、焦げた、（色が）普通より濃い、ネズミ色がかった
chaotic（形容詞）,大混乱の、混沌とした、雑然とした
cracked（形容詞）,ひびの入った、砕いた、砕けた
distorted（形容詞）,ゆがんだ、曲げた、ひずんだ
edible（形容詞）,食べられる、食用の
edible（名詞）,食料品
erotic（形容詞）,（作品などが）性愛を扱った、官能的な
existent（形容詞）,現存する、既存の
existent（名詞）,存在するもの
forbidding（形容詞）,不気味な、怖い、危険な
formidable（形容詞）,恐るべき、ぞっとするような、手ごわい
functional（形容詞）,機能の、職務の、作動する
furnished（形容詞）,家具付きの、（店などが）在庫のある
hairy（形容詞）,毛深い、毛で覆われた、困難な
identifiable（形容詞）,同一であると証明できる、（身体上の特徴などが）身元を確認できる
imposing（形容詞）,（風ぼう・建物の造りなどが）堂々とした、（大きくて）印象的な、壮大な
ingenious（形容詞）,独創的な、創意工夫に満ちた、巧妙な、器用な
intact（形容詞）,損なわれていない、完全な、変わっていない（叙述用法が多い）
linear（形容詞）,直線状の、長さの（限定用法が多い）
messy（形容詞）,乱雑な、汚い、（状況が）面倒な、混乱を起こす
monstrous（形容詞）,奇怪な、恐ろしい、巨大な（限定用法が多い）
motionless（形容詞）,動かない、じっとしている（叙述用法が多い）
mute（形容詞）,沈黙した、無言の
mute（他動詞）,…の音を消す、（色調など）を弱める
operating（形容詞）,手術の、動いている、作用する、経営上の（限定用法）
quaint（形容詞）,古風な趣がある、風変わりで面白い
queer（形容詞）,奇妙な、（主に男性が）同性愛の
queer（名詞）,（男性の）同性愛者、変人
resistant（形容詞）,（しばしば複合語で）抵抗力のある、耐…
resistant（名詞）,抵抗者
restrictive（形容詞）,制限［限定］する、制限的な
rotten（形容詞）,腐った、不快な、ひどい
rugged（形容詞）,ごつごつした、しわの寄った、厳しい、無骨な
scarlet（形容詞）,緋色の、深紅色の、（顔が）赤い
scarlet（名詞）,緋色、深紅色、緋色の服
shadowy（形容詞）,謎に包まれた、陰になった、あいまいな、幻の
shining（形容詞）,光る、きらめく、明るい、（限定用法）目立つ、優れた
silky（形容詞）,絹のような、光沢のある、柔らかな
sown（形容詞）,植え付けられた、（宝石などを）ちりばめた
sparkling（形容詞）,輝く、火花を出す、発泡性の（限定用法）
spotted（形容詞）,斑点のある、まだらの、ぶちの、染みの付いた（限定用法が多い）
sprung（形容詞）,ばね付きの、ばねの入った
static（形容詞）,静的な、静電気の、静止した
static（名詞）,静電気
tasteful（形容詞）,上品な、趣味のよい
tranquil（形容詞）,静かな、落ち着いた、平静な
traveling（形容詞）,旅行の、巡回の、移動する（限定用法）
traveling（名詞）,巡業
tricky（形容詞）,手の込んだ、ずるい、油断のならない
unchanged（形容詞）,変化していない、元のままの
variable（形容詞）,変わりやすい、移り気な、（数学で）変数の
variable（名詞）,変化するもの、（数学で）変数
weird（形容詞）,風変わりな、奇妙な、超自然的な
belated（形容詞）,遅れた、時期遅れの（限定用法が多い）
bimonthly（形容詞）,ひと月おきの、隔月の
bimonthly（副詞）,ひと月おきに、隔月に
bimonthly（名詞）,隔月刊行物
consequent（形容詞）,引き続いて起こる、結果として起こる
descendent（形容詞）,先祖伝来の、降下する、派生した
eventual（形容詞）,結果として生ずる、究極的な（限定用法）
hourly（形容詞）,1時間ごとの（限定用法）
hourly（副詞）,1時間ごとに
innumerable（形容詞）,数え切れないほどの、無数の（限定用法が多い）
perpetual（形容詞）,永久の、果てしない（限定用法が多い）
prior（形容詞）,（時間・順序が）前の、（prior to … で）…に優先する
subsequent（形容詞）,後の、次の、続いて起こる（限定用法）
abusive（形容詞）,口汚い、悪口を言う
affectionate（形容詞）,情愛の深い、愛情のこもった、優しい
aimless（形容詞）,目的のない（限定用法が多い）
applicable（形容詞）,適用できる、適切な（叙述用法）
blunt（形容詞）,（口調が）ぶっきらぼうな、そっけない、（刃などが）鈍い
blunt（他動詞）,…を鈍らせる
boastful（形容詞）,自慢する、自慢好きの
clumsy（形容詞）,ぎこちない、扱いが下手な、不器用な
communicative（形容詞）,話好きな、隠し立てのない（以上叙述用法が多い）、（限定用法が多い）伝達の、通信の
courteous（形容詞）,礼儀正しい、丁寧［いんぎん］な
crude（形容詞）,粗野な、下卑な、未完成の、天然の
destined（形容詞）,運命にある、…行きの
dutiful（形容詞）,忠実な、本分を尽くす、義務を果たす、礼儀正しい
easygoing（形容詞）,のんきな、のんびりした、安易な
elastic（形容詞）,ゴムの、弾性のある、しなやかな、伸縮自在の
elastic（名詞）,ゴムひも
eloquent（形容詞）,雄弁な、能弁な、（目などが）表情豊かな、よく表している
engaging（形容詞）,魅力のある、人を引き付ける
feminine（形容詞）,女性の、女性らしい、優しい（限定用法が多い）
feminine（名詞）,（文法で）女性、女性形
gracious（形容詞）,親切な、優しい、上品な
instinctive（形容詞）,天性の、本能的な、本能から起こる
liable（形容詞）,（通常好ましくない事柄について）…しがちで、法的に責任がある（叙述用法）
masculine（形容詞）,男性の、男性らしい、力強い（限定用法が多い）
masculine（名詞）,（文法で）男性、男性形
merciful（形容詞）,慈悲深い、情け深い
obstinate（形容詞）,頑固な、意固地な、（英；限定用法）執拗な、（病気などが）しつこい
outgoing（形容詞）,外向的な、社交的な
outgoing（名詞）,（通常 outgoings で）費用、出費
pious（形容詞）,信心深い、敬虔な、偽善的な
responsive（形容詞）,すぐ反応する（叙述用法が多い）、敏感な
sly（形容詞）,ずるい、意味ありげな、こそこそした
spontaneous（形容詞）,自発的な、任意の、自然に起こる、無意識の
straightforward（形容詞）,（発言・姿勢などが）率直な、単刀直入な、正直な、（仕事が）分かりやすい、容易な
sullen（形容詞）,不機嫌な、むっつりした、黙り込んだ、（空の色・天候が）暗い、うっとうしい
talkative（形容詞）,話好きな、口数の多い
tireless（形容詞）,根気強い、疲れない、不断の、衰えない
tolerant（形容詞）,寛容な、耐える、耐性がある
virtuous（形容詞）,高潔な、徳の高い、高徳者ぶった、独り善がりな
vulgar（形容詞）,卑猥な、粗野な、育ちのよくない
advisory（形容詞）,顧問の、忠告の、助言的な（限定用法が多い）
allied（形容詞）,同盟している、協同の、結び付いた（限定用法）
armored（形容詞）,武装した、よろいを着た（限定用法）
binding（形容詞）,（契約などが）拘束力のある、結合する
binding（名詞）,結合、束縛
comprehensive（形容詞）,広範囲な、包括的な、理解力のある
factual（形容詞）,事実の、事実に基づく［関する］
idealistic（形容詞）,理想主義の、理想家の
inactive（形容詞）,活動していない、（市場などが）不活発な
lawful（形容詞）,法の認めた［定めた］、合法の、正当な（限定用法が多い）
legislative（形容詞）,立法上の、立法権のある、立法府の（限定用法）
legitimate（形容詞）,合法の、適法の、正当の
patriotic（形容詞）,愛国的な、愛国心の強い
payable（形容詞）,支払い可能な、支払い満期の（叙述用法が多い）
qualified（形容詞）,資格のある、有能な、適任の
revealing（形容詞）,啓蒙的な、（服などが）露出度の高い、明らかにする
unanimous（形容詞）,満場一致の、同意見の
unofficial（形容詞）,正式でない、非公式な、非公認の
warring（形容詞）,交戦中の、いがみ合う、戦っている（限定用法）
wholesale（形容詞）,卸売りの、卸の、大量の（限定用法）
wholesale（名詞）,卸売り
wholesale（副詞）,卸売りで
arctic（形容詞）,（Arctic で）北極（地方）の、（arctic で）ひどく寒い
arctic（名詞）,（the Arctic で）北極地方
atmospheric（形容詞）,大気の（限定用法が多い）、雰囲気のある
foggy（形容詞）,霧の深い、（しばしば foggiest で）ぼんやりした、はっきりしない
geographical（形容詞）,地理的な、地理学上の（限定用法が多い）
humid（形容詞）,（不快に感じるほど）湿った、むしむしする
inland（形容詞）,内陸の、内地の（限定用法）
inland（副詞）,内陸に［へ］
inland（名詞）,内陸
planetary（形容詞）,惑星の、惑星に関する（限定用法が多い）
polar（形容詞）,極地（方）の、南極［北極］の（以上は通常 the polar で）、（電気で）極の
seasonal（形容詞）,季節の、ある季節に限った（限定用法）
supernatural（形容詞）,超自然の、信じられないほどの、神業の
temperate（形容詞）,（気候が）温暖な（限定用法が多い）、（性格が）温和な、控えめな
tidal（形容詞）,潮の、干満の、周期的な
abnormal（形容詞）,異常な、基準から外れた
approximate（形容詞）,おおよその、近似の
approximate（他動詞）,おおよそ…になる、…を概算する
commonplace（形容詞）,ごく普通の、ありふれた、平凡な、つまらない
commonplace（名詞）,ありふれたもの、平凡なこと
concise（形容詞）,（言葉などが）簡潔な、簡明な
confidential（形容詞）,秘密の、極秘の、親展の
eminent（形容詞）,著名な、高名な、地位の高い
Fahrenheit（形容詞）,カ氏の（限定用法）
Fahrenheit（名詞）,カ氏
faultless（形容詞）,申し分のない、欠点がない、無傷の
forceful（形容詞）,力にあふれた、強力な、有力な
given（形容詞）,定められた、一定の、特定の（限定用法）
improper（形容詞）,適切でない、不作法な、（使用法などが）妥当でない、間違った
inclusive（形容詞）,含めた、すべてを含んだ、包括的な
inconvenient（形容詞）,不便な、不自由な、都合の悪い
indispensable（形容詞）,必須の、不可欠の、無視できない
insignificant（形容詞）,重要でない、わずかばかりの、取るに足らない、ささいな
intelligible（形容詞）,分かりやすい、理解しやすい、明瞭な
miraculous（形容詞）,奇跡の、超自然的な、驚くべき
monotonous（形容詞）,単調な、変化のない、つまらない
notable（形容詞）,注目に値する、著しい、有名な、重要な
notable（名詞）,（通常 notables で）著名人
orderly（形容詞）,規則正しい、整頓された、整然とした
orderly（名詞）,病棟勤務員
prospective（形容詞）,見込みのある、未来の、期待される（限定用法が多い）
scanty（形容詞）,乏しい、わずかな、露出度の高い
selective（形容詞）,慎重に選択する、えり好みする、えり抜きの、選択の
steadfast（形容詞）,確固とした、不変の、しっかりした
sunk（形容詞）,救いようがない、すっかり駄目な（叙述用法）
surplus（形容詞）,余った、残りの、余分の
surplus（名詞）,残り、余り、黒字
tolerable（形容詞）,耐えられる、（演奏・料理・収入などが）悪くない、まあまあの
understandable（形容詞）,理解できる、予想された、分かりやすい、無理からぬ
undesirable（形容詞）,望ましくない、不快な、厄介な
undesirable（名詞）,好ましくない人
unpopular（形容詞）,人気がない、はやらない、嫌われる
hereafter（副詞）,今後は、これから先
hereafter（名詞）,（通常 the hereafter で）今後、将来
invariably（副詞）,いつも、例外なく決まって、変わることなく
ordinarily（副詞）,通常、通例、普通は、たいてい
subsequently（副詞）,その後に、その次に、続いて
broadly（副詞）,概して、幅広く、広範囲に
decidedly（副詞）,明らかに、断然
heartily（副詞）,心から、誠実に、思う存分
oddly（副詞）,奇妙に、妙に、余分に
vaguely（副詞）,漠然と、あいまいに、おぼろげに
hopefully（副詞）,うまくいけば、願わくは、できれば
incidentally（副詞）,ちなみに、ところで（以上は通常文頭で）、付随的に、偶然に
respectively（副詞）,（通常文末で）それぞれ、めいめいに、各自
virtually（副詞）,実質的には、事実上、ほぼ、（コンピューターで）仮想的に
notwithstanding（前置詞）,…にもかかわらず
notwithstanding（副詞）,それにもかかわらず
amen（間投詞）,アーメン（キリスト教で祈りの最後に唱える言葉）
buffalo（名詞）,バッファロー
abound（自動詞）,たくさんいる［ある］
prairie（名詞）,（しばしば prairies で）（特に米国ミシシッピ川流域の）大草原（地帯）
conspicuous（形容詞）,人目を引く、よく見える、目につきやすい
sticker（名詞）,ステッカー
adhere（自動詞）,張り付く、付着する、忠実である、固執する
bumper（名詞）,（自動車の）バンパー、（列車の）緩衝装置
bumper（形容詞）,ばかでかい、豊作の（限定用法）
displeasure（名詞）,不満、不機嫌、立腹、不安
workplace（名詞）,職場
ascribe（他動詞）,（ascribe … to ～ で）…（の原因）を～に帰する、（性質など）が～に備わっていると考える、（作品など）を～の作とする
gender（名詞）,性、性別
inequality（名詞）,不平等、不均衡、不公平
colonize（他動詞）,…を植民地にする、…を新しい地域に移植する
shoreline（名詞）,海岸線
aboriginal（形容詞）,先住（民）の、土着の、（通常 Aboriginal で）オーストラリア先住民の、アボリジニの
aboriginal（名詞）,（通常 Aboriginal で）オーストラリア先住民、アボリジニ
computerize（他動詞）,…をコンピューターで処理する、…をコンピューター化する
computerize（自動詞）,コンピューターを使用する
shipment（名詞）,出荷品、（船の）積み荷、船積み、積み込み、出荷、発送
warehouse（名詞）,倉庫
consolidate（他動詞）,…を強化する、…を合併する、…を整理統合する
sensor（名詞）,感知装置、センサー
bishop（名詞）,（しばしば Bishop で）司教、主教、（チェスで）ビショップ
dignify（他動詞）,…に威厳を与える、…をおごそかにする、…を高貴にする、…にもったいをつける
discredit（他動詞）,…を信頼できないものとする、…の信用を落とす
discredit（名詞）,不信、疑惑
eyewitness（名詞）,目撃者
testimony（名詞）,宣誓証言、証拠、公式の発表
consistency（名詞）,一貫性、堅さ、一致、調和
dramatize（他動詞）,…を劇にする、…を脚色する
online（形容詞）,オンラインの
online（副詞）,オンラインで
protein（名詞）,タンパク質
endanger（他動詞）,…を危険にさらす、…を危うくする
bully（名詞）,ごろつき、いばり散らす人、いじめっ子
bully（他動詞）,…をいじめる、…を脅す、（bully … into doing で）…を脅して～させる
escalate（自動詞）,エスカレートする、段階的に拡大［増大］する
escalate（他動詞）,…をエスカレートさせる、…を段階的に拡大［増大］させる
assault（名詞）,襲撃、猛攻撃、激しい非難、暴行、婦女暴行（rape の婉曲表現として用いられる）
assault（他動詞）,…を激しく攻撃する、（婦女）を暴行する
passerby（名詞）,通行人
washer（名詞）,洗濯機、（ボルトの）座金、ワッシャ
expire（自動詞）,期限が切れる、終了する、満期になる
facilitate（他動詞）,…を容易にする、…を促進する、…を手助けする
coordination（名詞）,調整、一致、対等、同格
donor（名詞）,（臓器などの）提供者、ドナー、寄贈者
recipient（名詞）,（臓器などの）提供を受ける人、被提供者、受領者、容器
generalize（自動詞）,一般化する、一般論を言う
generalize（他動詞）,…を一般化する、…を総合する、…を普及させる
operational（形容詞）,操作［使用］上の、操作［使用］できる、作戦上の
reactor（名詞）,原子炉（nuclear reactor）、反応体質
necktie（名詞）,ネクタイ、タイ
harmonize（自動詞）,調和する、一致する
harmonize（他動詞）,…を調和させる、…を一致させる、（曲など）に和音を付ける
industrialize（他動詞）,…を工業化する、…を工業主義に転換する
habitat（名詞）,（動物たちの）生息地、生育環境
aristocrat（名詞）,貴族、特権階級の人、貴族政治主義者、最高級品
spacious（形容詞）,（場所などが）広々とした、広範な
materialize（自動詞）,実現する、現れる
materialize（他動詞）,…を実現する、…に形を与える、…を体現させる
filmmaker（名詞）,映画会社、映画製作者
keenly（副詞）,熱心に、鋭く、激しく、抜け目なく
minimize（他動詞）,…をできるだけ少なくする、…を最小限に評価する、（パソコンの画面など）を最小化する
subconscious（名詞）,潜在意識
subconscious（形容詞）,潜在意識の（限定用法）
overlap（自動詞）,重なる、一部を覆う、部分的に一致する
overlap（名詞）,重複部分
inseparable（形容詞）,切り離せない、分離できない、不可分の
privatize（他動詞）,…を民営化する
fishery（名詞）,漁業、水産業、（通常 fisheries で）水産学、漁場
recede（自動詞）,後退する、退く、薄れる、（髪の毛の生え際が）後退する
jobless（形容詞）,失業中の、仕事のない、失業者の
jobless（名詞）,（the jobless で；複数扱い）失業者
shelve（他動詞）,…を棚上げにする、…を棚に載せる
waterway（名詞）,水路、航路、運河
notably（副詞）,目に見えて、顕著に、明白に、特に
slump（自動詞）,（価格などが）落ち込む、暴落［急落］する、（気力などが）急に衰える、倒れ込む
slump（名詞）,暴落、急落、不景気、不調、スランプ
contagious（形容詞）,（病気が）（接触）伝染性の、（感情・態度などが）人に移りやすい
exotic（形容詞）,異国風の、風変わりな
pavilion（名詞）,パビリオン、（展覧会などの）展示館、（イベントなどの）大型テント
sprawl（自動詞）,（町などが）不規則に広がる、四方に広がる、手足を広げる
sprawl（名詞）,不規則な広がり
ecological（形容詞）,生態上の、環境保護の、生態学の
stabilize（他動詞）,…を安定させる、…を一定に保つ
stabilize（自動詞）,安定する
exploitation（名詞）,（営利のための）開発、開拓、売り込み、搾取
standardize（他動詞）,…を規格化［標準化］する、…を基準に照らし合わせる
interface（名詞）,（コンピューターで）インターフェース、接触面
interface（他動詞）,…をインターフェースで接続する
subside（自動詞）,（暴動などが）鎮まる、（嵐などが）静まる、収まる、（洪水などが）引く、（船が）沈む
coup（名詞）,クーデター、大当たり、大成功
plank（名詞）,厚板、支持物
suffice（自動詞）,十分である、足りる
reinforcement（名詞）,補強、強化（剤）、援軍
intricate（形容詞）,複雑な、難解な、入り組んだ（限定用法が多い）
underlie（他動詞）,…の根底［基礎］にある、…の根拠を成す
uncontrollable（形容詞）,抑制できない、手に負えない、取り扱いにくい
likelihood（名詞）,可能性、見込み、ありそうな状態
scarcity（名詞）,不足、欠乏、食糧難
worsen（自動詞）,悪化する、さらに悪くなる
worsen（他動詞）,…を悪化させる、…をさらに悪くする
advocate（他動詞）,…を主張する、…を支持する、…を弁護する
advocate（名詞）,主張者、支持者
exhaustive（形容詞）,徹底的な、包括的な
reformation（名詞）,改革、改良、矯正、感化、（the Reformation で）宗教改革
childcare（名詞）,保育、児童保護
babble（自動詞）,片言を言う、おしゃべりをする
babble（他動詞）,（無意味な音・言葉）を発する、（秘密など）を漏らす
babble（名詞）,はっきり聞き取れない言葉
godfather（名詞）,名付け親、後見人、教父
hysterical（形容詞）,ヒステリックな、狂乱の、ヒステリー症の
landowner（名詞）,地主、土地所有者
bewilder（他動詞）,…を当惑させる、…をうろたえさせる
con（他動詞）,…をだまして（金品を）巻き上げる
con（名詞）,反対論、反対票
con（副詞）,反対で
con（前置詞）,…に反対して
pirate（名詞）,海賊、著作権侵害者
pirate（他動詞）,…に海賊行為をする、…の著作権を侵害する
conspire（自動詞）,共謀する、陰謀をたくらむ［図る］
subordinate（名詞）,部下、（地位が）下級の人、従属物
subordinate（形容詞）,（地位などが）下の、下級の、副次的な、従属した
subordinate（他動詞）,…を下位に置く、…を従属させる
wrongdoing（名詞）,悪事を働くこと、非行、犯罪
disregard（他動詞）,…を無視する、…に注意を払わない、…を軽視する
disregard（名詞）,無関心、軽視
therapist（名詞）,治療専門家、セラピスト
unreliable（形容詞）,信頼できない、当てにならない
endorse（他動詞）,…を正式に認める、…を支持する、（手形など）に裏書きする
postwar（形容詞）,戦後の（限定用法が多い）
reconstruction（名詞）,復興、再建、改築、再建［復元］されたもの
enlist（他動詞）,…の助け［協力］を求める、…を軍隊に入れる
enlist（自動詞）,協力する、入隊する
novice（名詞）,新参者、新人、初心者、未熟者
veteran（名詞）,退役軍人、古参兵、（仕事などで）経験が豊富な人
veteran（形容詞）,ベテランの、歴戦の（限定用法）
interact（自動詞）,交流する、相互に作用する
tavern（名詞）,居酒屋、宿屋
intervene（自動詞）,仲裁に入る、調停する、干渉する、（2つの物事の間に）起こる、介在する
adolescent（形容詞）,思春期の、青年期の、青春期の、若々しい、青臭い（限定用法が多い）
adolescent（名詞）,青年期［思春期］の人
lure（他動詞）,…を誘い込む、…を誘惑する、…をおびき出す
lure（名詞）,引き付けるもの、魅力、おとり、（釣りの）ルアー、疑似餌
obscene（形容詞）,わいせつな、いやらしい、（道徳的に）我慢できない
pornography（名詞）,ポルノ（本・映画・画像など）、わいせつ文書
supervisor（名詞）,監督、管理者
mumble（他動詞）,…をつぶやく、…をぶつぶつ言う、…をもぐもぐかむ
mumble（名詞）,つぶやき
voucher（名詞）,領収書、商品引換券、割引券、保証人
notify（他動詞）,…に知らせる、…に報告する
processor（名詞）,（コンピューターの）プロセッサー、演算処理装置、処理プログラム、加工業者
commentator（名詞）,（実況などの）解説者、注釈者、評論家、コメンテーター
paraphrase（他動詞）,…を言い換える
paraphrase（自動詞）,言い換える
paraphrase（名詞）,言い換え
misleading（形容詞）,誤解を招く恐れのある、人を誤らせる
celebrity（名詞）,有名人、名声
rave（自動詞）,絶賛する、褒める、うわ言を言う、わめきたてる
rave（名詞）,夢中
cruiser（名詞）,クルーザー、巡洋艦、遊覧用モーターボート、（米）巡回パトカー
missionary（名詞）,宣教師、使節
missionary（形容詞）,伝道の、布教の
recount（他動詞）,…を詳しく話す、…を物語る
testament（名詞）,（the Testament で）聖書、証拠、遺言、契約
retort（他動詞）,…と言い返す、…と逆襲する
retort（自動詞）,言い返す
retort（名詞）,口答え、しっぺ返し
resentful（形容詞）,憤慨している、ひどく嫌がる、怒りっぽい
coincidence（名詞）,（偶然の）一致、合致、同時発生
waltz（名詞）,ワルツ、ワルツの曲、円舞曲
waltz（自動詞）,ワルツを踊る
socialize（自動詞）,打ち解けて交際する、社会的活動に参加する
socialize（他動詞）,…を社交的にする、…を社会生活に順応させる、…を社会主義化する
stammer（自動詞）,どもる、口ごもる
stammer（他動詞）,…をどもりながら言う
stammer（名詞）,どもり
prophecy（名詞）,予言、お告げ
underestimate（他動詞）,…を過小評価する、…を軽んじる、…を軽視する、…を見くびる
underestimate（名詞）,過小評価
enterprising（形容詞）,進取的な、積極的な
stamina（名詞）,スタミナ、体力
frantic（形容詞）,半狂乱の、取り乱した、逆上した、すごい
mob（名詞）,暴徒、群衆
mob（他動詞）,…の周りに群がって押し寄せる、…に群がって襲う
batter（他動詞）,…をめった打ちにする、…を打ち壊す、…に激しく当たる
buckle（自動詞）,留め金で留める、曲がる
buckle（他動詞）,…を留め金で留める、…を曲げる
buckle（名詞）,バックル、ゆがみ
