lucrative,利益の大きい
hydropower,水力発電
geothermal,地熱の
radiation,放射線
acidification,酸性化
biodiversity,生物多様性
species,種
endangered,絶滅の危機に瀕した
extinction,絶滅
fauna,動物相
flora,植物相
den,巣穴
reforestation,植林
forestry,林業
canopy,林冠
contamination,汚染
pollutant,汚染物質
sustainable,持続可能な
cereal,穀物
monoculture,単一栽培
fertilizer,肥料
herbicide,除草剤
pest,害虫
pesticide,殺虫剤
blight,病害
plantation,大農園
herd,群れ
ore,鉱石
tributary,支流
cascade,小滝
swamp,湿地
quagmire,ぬかるんだ土地
shoal,浅瀬
seabed,海底
elevation,高さ
cove,小さな湾
chasm,深い割れ目
fissure,裂け目
crevice,割れ目
aquifer,帯水層
porous,通水性の
sediment,沈殿物
plateau,高原
topography,地形
Paleozoic,古生代の
Mesozoic,中生代の
Cenozoic,新生代の
archaeopteryx,始祖鳥
archipelago,群島
peninsula,半島
mantle,マントル
volcanism,火山活動
lava,溶岩
tremor,微震
landslide,地滑り
glacier,氷河
iceberg,氷山
avalanche,雪崩
crust,地殻
cataclysm,地殻の大変動
axis,地軸
equator,赤道
hemisphere,半球
climatic,気候の
boreal,北方の
tundra,ツンドラ
thaw,解ける
dusk,夕暮れ
drizzle,霧雨
muggy,蒸し暑い
drought,干ばつ
precipitation,降水量
solstice,至
magnetosphere,磁気圏
gravity,重力
orbit,軌道
meteor,流星
meteorite,隕石
junk,宇宙ごみ
asteroid,小惑星
planet,準惑星
interstellar,恒星間の
galaxy,銀河
nebular,星雲状の
neutron,中性子
proton,陽子
quantum,量子
radioactivity,放射能
reactor,原子炉
velocity,速度
gravitation,引力
friction,摩擦
field,磁場
conductive,伝導性の
convection,対流
spectrum,スペクトル
molecule,分子
isotope,アイソトープ
compound,合成物
synthetic,合成の
hydrogen,水素
nitrogen,窒素
arsenic,ヒ素
phosphorus,リン
acid,硫酸
zinc,亜鉛
acetylene,アセチレン
carbohydrate,炭水化物
dioxide,二酸化物
hydrocarbon,炭化水素
fluoride,フッ化物
iridium,イリジウム
methane,メタン
nitrate,硝酸塩
platinum,プラチナ
radium,ラジウム
alloy,合金
metallurgy,冶金
amalgam,アマルガム
enzyme,酵素
lactose,乳糖
solvent,溶液
unsaturated,不飽和の
equation,等式
continuum,連続体
infinity,無限大
maximum,最大限
ratio,比率
coefficient,係数
rectangle,長方形
radius,半径
diameter,直径
elliptical,楕円の
cylinder,円柱
cone,円すい
subset,下位集合
specification,仕様
thermostat,自動温度調節装置
radar,レーダー
circuitry,電気回路
electrode,電極
quartz,石英
silicon,ケイ素
graphite,黒鉛
cyberspace,サイバースペース
garbled,文字化けした
edifice,建築物
condominium,分譲マンション
high-rise,高層の
urbanization,都市化
outskirts,郊外
sprawl,都市の膨張
thoroughfare,道路
landmark,目印となる建物
infrastructure,社会基盤
cornerstone,礎石
timber,木材
sawmill,製材所
ditch,溝
sewage,下水
reservoir,貯水池
waterway,船が航行できる水路
pier,桟橋
wharf,埠頭
intersection,交差点
pedestrian,歩行者
collision,衝突
carrier,運送業者
toll-free,無料の
aviation,航空
runway,滑走路
mileage,走行距離
constituent,選挙人
electorate,選挙区
suffrage,投票権
senator,上院議員
propaganda,プロパガンダ
racism,人種差別
territorial,領土の
hegemony,覇権
diplomat,外交官
armistice,休戦
pact,条約
coup,クーデター
corps,兵団
admiral,海軍大将
colonel,大佐
lieutenant,中尉
outpost,前哨地
trench,塹壕
militia,民兵組織
veteran,退役軍人
patriotism,愛国心
arsenal,兵器庫
projectile,発射物
torpedo,魚雷
ammunition,弾薬
artillery,大砲
grenade,手投げ弾
emplacement,据えつけ
devalue,通貨を切り下げる
inflation,インフレ
cartel,カルテル
mercantilism,重商主義
recession,不景気
monetary,通貨の
jurisdiction,司法権
perpetrator,加害者
defendant,被告
plaintiff,原告
prosecutor,検察官
juror,陪審員
jury,陪審員団
attorney,弁護士
barrister,法廷弁護士
lawsuit,訴訟
probation,執行猶予
commutation,減刑
imprisonment,投獄
counterclaim,反対要求
mistrial,無効審理
remand,再勾留する
immunity,刑事免責
insanity,精神錯乱
default,不履行
perjury,偽証罪
burglary,押し込み強盗
larceny,窃盗
arson,放火
homicide,殺人
manslaughter,故殺
hostage,人質
contraband,密輸品
legacy,遺産
beneficiary,恩恵を受ける人
consortium,合弁企業
syndicate,企業組合
capitalist,資本家
stakeholder,出資者
entrepreneur,起業家
pension,年金
resignation,辞任
ledger,元帳
overdraft,貸し越し
retailer,小売業者
output,生産高
clientele,顧客
bankruptcy,倒産
questionnaire,アンケート
respondent,回答者
prototype,原型
agenda,会議事項
patent,特許
disclaimer,免責条項
prehistoric,先史時代の
archaeological,考古学の
remains,遺跡
excavation,発掘
catacomb,地下埋葬場
coffin,ひつぎ
flint,火打ち石
artifact,加工品
lance,やり
hearth,炉
shipwreck,難破船
mummy,ミイラ
glyph,象形文字
inscription,碑文
epitaph,墓碑銘
archive,公文書
chronicle,年代記
millennium,千年
medieval,中世の
dynasty,王朝
aristocracy,貴族
genealogy,家系
crusade,十字軍
rampart,城壁
dungeon,地下牢
imperialism,帝国主義
coronation,戴冠式
autocrat,独裁者
dictator,独裁者
massacre,大虐殺
exorcism,悪魔払い
peasantry,小作農
mores,社会的慣習
folklore,民間伝承
mythology,神話
spouse,配偶者
suitor,求婚者
dowry,持参金
ghetto,ゲットー
caste,カースト
prelate,高位聖職者
archbishop,大司教
bishop,司教
monk,修道士
monastery,修道院
missionary,伝道師
pilgrim,巡礼者
worship,礼拝
ethic,倫理
requiem,死者のためのミサ
dirge,葬送歌
redemption,贖罪
penance,懺悔
pagan,異教徒
atheism,無神論
agnostic,不可知論者
deterministic,決定論的な
curator,学芸員
sponsorship,後援
pigment,色素
varnish,ニス
symmetry,左右対称
replica,レプリカ
balm,香油
porcelain,磁器
auditorium,観客席
cathartic,カタルシスを起こす
recite,朗読する
playwright,脚本家
phonograph,蓄音器
lexical,語彙の
syntax,統語論
conjugate,活用させる
conjunction,接続詞
determiner,限定詞
semantic,意味論の
pronunciation,発音
vernacular,日常語
synonym,同義語
faculty,学部
doctoral,博士号の
academia,学界
methodology,方法論
expertise,専門知識
taxonomy,分類学
paradigm,理論などの枠組み
empirical,実験に基づく
thesis,学位論文
terminology,専門用語
rhetoric,修辞法
preface,序文
bibliography,参考文献一覧
typo,誤植
dormitory,寮
tamper with ,勝手にいじる
buckle down,本気で取りかかる
mull over,じっくり考える
boil down to ,つまるところ～になる
crack down on ,厳しく取り締まる
crop up,持ち上がる
tip off,内報する
pan out,うまくいかない
clam up,口をつぐむ
harp on,くどくど言う
pine for ,～を恋しく思う
chime in,議論に加わる
tap into ,開拓する
beef up,強化する
egg on,けしかける
scrape by,かろうじて生計を立てる
blow away,仰天させる
drown out,かき消す
bank on ,当てにする
rub off on ,移る
dote on ,溺愛する
rattle off,すらすらと言う
own up,認める
shell out,払う
peter out,次第に減少してなくなる
eke out,生計を立てる
pass down,伝える
butter up,おべっかを使う
dispense with ,なしで済ます
do up,飾る
live down,忘れる
level with ,正直に話す
dawn on ,わかり始める
shake off,振り払う
vouch for ,保証する
rifle through ,くまなく調べる
head off,阻止する
polish off,さっさと平らげる
rein in,抑制する
bow out,身を引く
cast off,捨てる
scoot over,少し詰める
fizzle out,途中で駄目になる
rope in,誘い込む
patch up,修復する
drift off,居眠りする
act up,不調である
stumble on ,偶然くわす
weed out,取り除く
fork out,払う
whip up,手早く用意する
fend off,かわす
jockey for ,得ようと競う
pull off,成し遂げる
farm out,委託する
simmer down,落ち着く
poke around,探し回る
taper off,次第に減る
write off,無意味なものと見なす
pick off,狙って撃つ
blot out,完全に覆い隠す
run up,ため込む
barge in,口をはさむ
wriggle out of ,うまく逃れる
ease up,緩める
bear down on ,迫ってくる
carve up,分割する
bawl out,ひどく叱る
bottle up,押し殺す
goof off,浪費する
dwell on ,こだわる
dish out,与える
louse up,台無しにする
nose around ,かぎ回る
come by ,手に入れる
rail against ,激しく非難する
crank out,量産する
hang back,ためらう
piece together,組み立てる
swear by ,信頼を置く
put in for ,申請する
chew out,ガミガミ叱る
fritter away,浪費する
wolf down,がつがつ食べる
dole out,分け与える
spur on,駆り立てる
hunker down,避難する
bog down,動きが取れなくなる
snap out of ,立ち直る
boil over,堪忍袋の緒が切れる
deck out,着飾らせる
breeze in,ふらりとやって来る
settle on ,決める
sound out,打診する
barge through ,かき分けて進む
lay out,説明する
factor in,計算に入れる
pin down,突き止める
roll in,到着する
hold down,続ける
fall through,失敗に終わる
stamp out,根絶する
throw out,痛める
pass A off as B,AをBと偽る
bear out,裏づける
come down on ,きつく叱る
play up,強調する
zero in on ,注意を集中する
butt in,口をはさむ
toy with ,漠然と抱く
wind up,終わる
rack up,獲得する
pitch in,協力する
horse around,ふざけ回る
gang up on ,袋叩きにする
wind down,徐々に終わる
make off with ,持ち去る
flesh out,肉付けする
rip through ,勢いよく通り過ぎる
palm off,をだまして売りつける
tack on,をつけ足す
hinge on ,次第である
pore over ,をじっくり読む
hole up,隠れる
churn out,乱造する
leaf through ,本などを素早くパラパラめくる
trip up,人をひっかける
blurt out,を思わず口に出す
nail down,を突き止める
tear into ,人を激しく攻撃する
trump up,を捏造する
knuckle down,真剣に取り組む
lap up,情報を真に受ける
spout off,べらべらしゃべる
scrimp on,を節約する
wrap up,仕事を終える
shrug off,無視する
side with ,の側に立つ
drag on,長引く
ramp up,生産などを増やす
shy away from ,を避ける
chip in,金を出し合う
strike up,会話などを始める
fire away,どんどん質問する
fan out,四方に散らばる
bail out,を救済する
cave in,降参する
square off,対戦する
crack up,大笑いする
choke up,場所をいっぱいにふさぐ
mete out,罰などを与える
clog up,の動きを妨害する
waste away,衰える
jot down,を書き留める
lay into ,人を非難する
stand in for ,人の代わりをする
foul up,計画などを台無しにする
belt out,を大声で歌う
spruce up,身なりを整える
muddle through,どうにか切り抜ける
snuff out,を終わらせる
pick up on ,に気づく
keel over,人が倒れる
bunch up,一か所に集まる
go through with ,計画などを遂行する
ease off,和らぐ
load up on ,を買いだめる
chip away at ,を少しずつ弱める
float around,うわさなどが広まる
drag out,を長引かせる
roll back,価格などを下げる
creep in,忍び寄る
drum up,事業などを起こす
skirt around ,を避ける
sift through ,情報を詳しく調べる
worm A out of B,BからAを聞き出す
square up,清算する
while away,時間をのんびり過ごす
tower over ,より抜きんでている
rake in,大金を獲得する
lead up to ,につながる
back out,手を引く
head up,責任者である
cater to ,要求にこたえる
push for ,を強く求める
snap up,急いで買う
mark up,値上げする
dumb down,難しいことを簡単にする
squeeze in,をねじ込む
throw in,おまけとしてをつける
lag behind ,に後れを取る
shoot for ,を目指す
pass over,候補から外す
descend on ,に詰めかける
sink in,十分に理解される
bubble over,興奮する
branch out,事業などを拡大する
spice up,味わいを加える
trail off,次第に小さくなる
skim off,横領する
brim over,あふれる
strike off,リストから名前を消す
whisk away,さっと連れ去る
settle for ,で我慢しておく
flunk out,退学する
paper over,問題を覆い隠す
hike up,価格などを引き上げる
wash out,汚れが洗って落ちる
suck up to ,人にこびる
dash off,を急いで書く
choke back,感情を抑える
lop off,経費などを削減する
nibble at ,貯金を切り崩す
walk out on ,人を見捨てる
hold out for ,を要求して粘る
draw in,人を引き込む
follow through with ,計画をやり遂げる
mouth off,生意気な口を利く
stow away,密航する
bundle up,暖かく着込む
soak up,雰囲気を満喫する
keep after ,人にしつこく言う
coop up,を閉じ込める
claw back,失ったものを取り戻す
gain on ,近づく
hold out on ,人に隠している
flip out,激怒する
get in on ,活動などに加わる
dabble in,にちょっと手を出す
knuckle under,屈する
take to ,を好きになる
sit in for ,の代理を務める
pipe down,静かにする
scratch out,線を引き消す
perk up,元気づける
smooth down,を平らにする
thin out,をまばらにする
talk down,を軽視する
shove around,人をこき使う
blare out,をがなり立てる
drone on,だらだらと話す
root for ,応援する
pack off,人を送り出す
sponge off,人にたかる
get away with ,悪いことをして逃れる
shove off,離れる
store up,問題を招く
reckon on ,を当てにする
spin out,長引かせる
chase up,人にを促す
front for ,の隠れみのになる
duck out,こっそり抜け出す
fawn over ,人にこびる
grate on ,人をいら立たせる
tail off,徐々に減少する
rig up,急ごしらえする
stave off,を食い止める
let up on ,人に対して手加減をする
wipe out,全滅させる
usher in,の先駆けとなる
sort out,問題を解決する
phase out,段階的に停止する
strike down,無効とする
wear off,次第に消える
take on,雇う
break down,屈する
take up,を始める
pass up,機会を見送る
turn to ,に頼る
draw on ,経験を生かす
stick around,居座る
abide by ,規則に従う
weigh in,議論に加わる
glance off,をかすめる
rake off,リベートを受け取る
take in,見物する
play down,過小評価する
box up,箱に入れる
bring up,話題を持ち出す
blow up,感情を爆発させる
boot up,起動する
chip off,を削り取る
trip over ,につまずく
crouch down,かがむ
fade in,次第にはっきりする
filter out,をふるいにかける
beat up,たたきのめす
fuss over,をちやほやする
scrape together,をかき集める
slip by,いつの間にか過ぎる
deal out,を分配する
soften up,を和らげる
level off,成長が止まる
shrivel up,しなびる
let down,人を失望させる
mark out,を区切る
bottom out,底をつく
get down to ,に取りかかる
trim down,を削減する
run off with ,を持ち逃げする
puzzle over ,に頭を悩ませる
put forward,提案する
stem from ,に由来する
shake up,を動揺させる
spring up,急に現れる
back down,引き下がる
saddle A with B,AにBを負わせる
fall back on ,に頼る
hold back,ためらう
lay down,規則を設定する
hold off,しないで待つ
single out,を選び出す
kick off,を始める
gear up,準備をする
pay off,努力が実を結ぶ
